gene-LOC100996364	NC_000022.11	+	10580456	10580988	10580988	10580988	1	10580456,	10580988,
XR_950597.3	NC_000022.11	+	10742023	10753062	10753062	10753062	2	10742023,10752759,	10742191,10753062,
XR_950596.3	NC_000022.11	+	10742023	10753053	10753053	10753053	3	10742023,10749497,10752759,	10742191,10749658,10753053,
gene-LOC100289194	NC_000022.11	+	10858994	10864475	10864475	10864475	5	10858994,10859694,10861764,10863367,10863721,	10859105,10859832,10861890,10863581,10864475,
NR_132320.1	NC_000022.11	-	10940596	10961529	10961529	10961529	9	10940596,10941688,10944966,10947303,10949211,10950048,10959066,10960331,10961282,	10940707,10941780,10945053,10947418,10949269,10950174,10959136,10960431,10961529,
gene-LOC100289004	NC_000022.11	+	11124336	11125712	11125712	11125712	2	11124336,11124508,	11124380,11125712,
gene-RNA5-8SP-5	NC_000022.11	-	11249808	11249959	11249959	11249959	1	11249808,	11249959,
gene-LOC102723688	NC_000022.11	+	11250651	11256506	11256506	11256506	5	11250651,11252853,11253267,11255992,11256446,	11250945,11253227,11254142,11256257,11256506,
gene-RNA18SP-5	NC_000022.11	-	11250999	11252848	11252848	11252848	1	11250999,	11252848,
gene-CDC27P7	NC_000022.11	+	11257792	11259748	11259748	11259748	1	11257792,	11259748,
gene-DUX4L40	NC_000022.11	+	11276662	11277413	11277413	11277413	1	11276662,	11277413,
gene-PCMTD1P4	NC_000022.11	+	11279130	11279493	11279493	11279493	1	11279130,	11279493,
gene-DUX4L41	NC_000022.11	+	11281907	11282891	11282891	11282891	1	11281907,	11282891,
gene-ZNF73	NC_000022.11	+	11474776	11479643	11479643	11479643	3	11474776,11475145,11477177,	11474904,11475238,11479643,
gene-DUX4L42	NC_000022.11	+	11600643	11601609	11601609	11601609	1	11600643,	11601609,
gene-PCMTD1P5	NC_000022.11	+	11604018	11604682	11604682	11604682	1	11604018,	11604682,
gene-DUX4L43	NC_000022.11	+	11606085	11606834	11606834	11606834	1	11606085,	11606834,
gene-CDC27P8	NC_000022.11	-	11623819	11625744	11625744	11625744	1	11623819,	11625744,
gene-LOC100996699	NC_000022.11	-	11625853	11629489	11629489	11629489	5	11625853,11626151,11627706,11628242,11629169,	11625928,11626366,11627713,11629129,11629489,
gene-RNA18SP-6	NC_000022.11	+	11629548	11630707	11630707	11630707	1	11629548,	11630707,
gene-LOC107987320	NC_000022.11	+	11710875	11712375	11712375	11712375	1	11710875,	11712375,
XR_001755416.2	NC_000022.11	+	11825296	11834829	11834829	11834829	3	11825296,11832760,11834727,	11825547,11832915,11834829,
gene-LOC107984030	NC_000022.11	+	11828806	11830168	11830168	11830168	1	11828806,	11830168,
gene-MTCO3P33	NC_000022.11	+	11854461	11855052	11855052	11855052	1	11854461,	11855052,
gene-MTCO1P33	NC_000022.11	+	11855365	11856422	11856422	11856422	1	11855365,	11856422,
gene-LOC101928041	NC_000022.11	+	11867026	11891757	11891757	11891757	9	11867026,11869828,11873843,11876103,11876223,11882267,11886400,11887951,11889309,	11867145,11869898,11873925,11876132,11876296,11882338,11886565,11888146,11891757,
NR_110761.1	NC_000022.11	+	11897405	11956534	11956534	11956534	3	11897405,11910165,11955270,	11897467,11910219,11956534,
XR_001755415.1	NC_000022.11	+	12097954	12115357	12115357	12115357	4	12097954,12098493,12100133,12115240,	12098112,12098712,12100192,12115357,
XR_001755413.1	NC_000022.11	+	12097954	12115357	12115357	12115357	3	12097954,12100133,12115240,	12098112,12100192,12115357,
XR_001755414.2	NC_000022.11	+	12097954	12103178	12103178	12103178	4	12097954,12098493,12100133,12103168,	12098112,12098712,12100192,12103178,
XR_002958735.1	NC_000022.11	+	12097954	12100246	12100246	12100246	3	12097954,12098493,12100133,	12098112,12098712,12100246,
XR_951179.2	NC_000022.11	-	12130746	12167072	12167072	12167072	3	12130746,12159437,12166829,	12133116,12159592,12167072,
gene-MTCO1P34	NC_000022.11	+	12135933	12136990	12136990	12136990	1	12135933,	12136990,
gene-MTCO3P34	NC_000022.11	+	12137303	12137894	12137894	12137894	1	12137303,	12137894,
gene-LOC107987322	NC_000022.11	-	12162080	12163520	12163520	12163520	1	12162080,	12163520,
gene-LOC101930531	NC_000022.11	+	12615366	12626718	12626718	12626718	7	12615366,12616313,12618170,12620836,12624241,12625316,12626605,	12615534,12616371,12618285,12620938,12624333,12625428,12626718,
gene-DUX4L44	NC_000022.11	-	12692640	12694102	12694102	12694102	1	12692640,	12694102,
XR_002958734.1	NC_000022.11	-	12809947	12815764	12815764	12815764	3	12809947,12813525,12815717,	12810095,12813584,12815764,
XR_001755412.1	NC_000022.11	-	12809947	12815310	12815310	12815310	3	12809947,12813525,12814994,	12810095,12813584,12815310,
gene-LOC112268290	NC_000022.11	+	15264488	15278052	15278052	15278052	6	15264488,15268782,15269057,15271430,15275218,15277954,	15264706,15268895,15269233,15271542,15275284,15278052,
gene-LOC100533637	NC_000022.11	-	15325341	15326646	15326646	15326646	1	15325341,	15326646,
gene-BNIP3P2	NC_000022.11	+	15349487	15350019	15350019	15350019	1	15349487,	15350019,
gene-YME1L1P1	NC_000022.11	+	15489983	15492567	15492567	15492567	1	15489983,	15492567,
NM_001005239.1	NC_000022.11	+	15528158	15529139	15528158	15529139	1	15528158,	15529139,
gene-ARHGAP42P3	NC_000022.11	-	15533784	15553838	15553838	15553838	1	15533784,	15553838,
gene-LOC100420175	NC_000022.11	+	15558447	15575791	15575791	15575791	2	15558447,15575612,	15558627,15575791,
gene-LOC780780	NC_000022.11	-	15561168	15564363	15564363	15564363	1	15561168,	15564363,
gene-LOC100132723	NC_000022.11	-	15572086	15573263	15573263	15573263	1	15572086,	15573263,
gene-LOC100422530	NC_000022.11	+	15573032	15573547	15573547	15573547	1	15573032,	15573547,
XR_002958737.1	NC_000022.11	-	15600586	15605133	15605133	15605133	3	15600586,15604051,15604841,	15602514,15604133,15605133,
gene-NEK2P2	NC_000022.11	-	15611558	15613237	15613237	15613237	1	15611558,	15613237,
gene-NF1P6	NC_000022.11	-	15622600	15632050	15632050	15632050	10	15622600,15623985,15624537,15624954,15625471,15627329,15627646,15628329,15629735,15631914,	15622802,15624069,15624660,15625094,15625911,15627413,15627719,15628578,15629890,15632050,
NM_001136213.1	NC_000022.11	+	15690025	15721631	15690077	15719777	11	15690025,15695370,15695644,15698661,15700077,15702685,15708019,15709781,15710867,15719659,15721285,	15690709,15695485,15695818,15698768,15700215,15702756,15708090,15709826,15711034,15719778,15721631,
NR_046571.1	NC_000022.11	-	15700385	15703354	15703354	15703354	2	15700385,15702959,	15701482,15703354,
gene-RNU6-816P	NC_000022.11	+	15701458	15701565	15701565	15701565	1	15701458,	15701565,
NR_132385.1	NC_000022.11	+	15746673	15778289	15778289	15778289	3	15746673,15754387,15778009,	15746899,15754453,15778289,
gene-GRAMD4P2	NC_000022.11	-	15750361	15750824	15750824	15750824	1	15750361,	15750824,
XR_001755418.1	NC_000022.11	+	15765559	15774705	15774705	15774705	3	15765559,15769442,15773387,	15765780,15769638,15774705,
NR_122113.1	NC_000022.11	+	15784953	15827434	15827434	15827434	8	15784953,15787171,15788584,15788819,15790660,15791009,15815475,15826141,	15785057,15787282,15788699,15788931,15790798,15791152,15815566,15827434,
NR_133911.1	NC_000022.11	-	15805697	15820884	15820884	15820884	3	15805697,15813393,15820620,	15806011,15813481,15820884,
gene-NBEAP3	NC_000022.11	+	15852988	15876688	15876688	15876688	5	15852988,15859037,15868207,15872417,15876486,	15853242,15859176,15868219,15872438,15876688,
gene-LOC729057	NC_000022.11	-	15853680	15855342	15855342	15855342	1	15853680,	15855342,
gene-LOC644525	NC_000022.11	+	15893135	15893914	15893914	15893914	1	15893135,	15893914,
gene-LOC100421685	NC_000022.11	+	15922427	15922944	15922944	15922944	1	15922427,	15922944,
gene-LOC100292922	NC_000022.11	+	16132468	16154854	16154854	16154854	7	16132468,16136728,16137005,16139349,16143137,16145863,16154528,	16132686,16136843,16137180,16139456,16143202,16145953,16154854,
gene-ZNF72P	NC_000022.11	-	16195708	16198040	16198040	16198040	1	16195708,	16198040,
gene-ABCD1P4	NC_000022.11	+	16387688	16391884	16391884	16391884	4	16387688,16390135,16390369,16390640,	16387839,16390220,16390495,16391884,
gene-PABPC1P9	NC_000022.11	+	16424529	16426477	16426477	16426477	1	16424529,	16426477,
gene-SLC9B1P4	NC_000022.11	-	16428754	16476875	16476875	16476875	9	16428754,16433323,16434353,16438293,16439280,16459929,16472845,16474084,16476696,	16429159,16433460,16434462,16438443,16439388,16460105,16472973,16474227,16476875,
gene-ACTR3BP6	NC_000022.11	+	16486692	16488336	16488336	16488336	1	16486692,	16488336,
gene-CHEK2P4	NC_000022.11	+	16503303	16509475	16509475	16509475	1	16503303,	16509475,
gene-LOC100422375	NC_000022.11	+	16572023	16574636	16574636	16574636	5	16572023,16572712,16573048,16573423,16574464,	16572151,16572753,16573213,16573527,16574636,
gene-KCNMB3P1	NC_000022.11	-	16580765	16582707	16582707	16582707	2	16580765,16582506,	16581287,16582707,
NM_014406.4	NC_000022.11	-	16590757	16592810	16590876	16592550	1	16590757,	16592810,
gene-FABP5P11	NC_000022.11	-	16594870	16595548	16595548	16595548	1	16594870,	16595548,
NR_001591.1	NC_000022.11	+	16601910	16648830	16648830	16648830	9	16601910,16611657,16614076,16622840,16637039,16638578,16647167,16647662,16648526,	16602215,16611893,16614178,16622897,16637090,16638740,16647257,16647785,16648830,
gene-SLC25A15P5	NC_000022.11	-	16645491	16646613	16646613	16646613	2	16645491,16646447,	16645813,16646613,
XR_002958738.1	NC_000022.11	+	16649057	16653814	16653814	16653814	3	16649057,16652321,16652932,	16650126,16652483,16653814,
XR_002958739.1	NC_000022.11	+	16649707	16653814	16653814	16653814	3	16649707,16652321,16652932,	16649961,16652483,16653814,
gene-PARP4P3	NC_000022.11	-	16653602	16659734	16659734	16659734	1	16653602,	16659734,
NR_040115.1	NC_000022.11	-	16653707	16675540	16675540	16675540	9	16653707,16659496,16659857,16661475,16669461,16670216,16671517,16673599,16675122,	16654076,16659628,16659969,16661555,16669620,16670261,16671588,16673752,16675540,
gene-ANKRD62P1	NC_000022.11	-	16671664	16679598	16679598	16679598	1	16671664,	16679598,
gene-VWFP1	NC_000022.11	-	16690096	16704461	16704461	16704461	12	16690096,16690572,16691974,16694577,16695003,16695241,16696777,16700313,16701153,16702046,16703992,16704318,	16690280,16690616,16692139,16694721,16695144,16695358,16698156,16700449,16701312,16702203,16704106,16704461,
